,precision,recall,f1-score,support
1,0.9494949494949495,0.94,0.9447236180904524,100.0
2,0.9009009009009009,1.0,0.947867298578199,100.0
3,0.99,0.99,0.99,100.0
4,0.8620689655172413,0.75,0.8021390374331552,100.0
5,1.0,1.0,1.0,100.0
6,0.94,0.94,0.94,100.0
7,0.847457627118644,1.0,0.9174311926605504,100.0
8,0.9473684210526315,0.72,0.8181818181818181,100.0
9,1.0,1.0,1.0,100.0
micro avg,0.936026936026936,0.9266666666666666,0.9313232830820769,900.0
macro avg,0.9374767626760409,0.9266666666666666,0.9289269961049084,900.0
weighted avg,0.9374767626760406,0.9266666666666666,0.9289269961049084,900.0
