,precision,recall,f1-score,support
1,0.9634146341463414,0.9875,0.9753086419753086,80.0
2,0.6666666666666666,0.925,0.7748691099476439,80.0
3,0.9605263157894737,0.9125,0.935897435897436,80.0
4,0.86,0.5375,0.6615384615384615,80.0
5,0.9876543209876543,1.0,0.9937888198757764,80.0
6,0.9726027397260274,0.8875,0.9281045751633986,80.0
7,0.8791208791208791,1.0,0.935672514619883,80.0
8,0.8648648648648649,0.8,0.8311688311688312,80.0
9,1.0,1.0,1.0,80.0
micro avg,0.8969359331476323,0.8944444444444445,0.8956884561891516,720.0
macro avg,0.9060944912557675,0.8944444444444445,0.8929275989096376,720.0
weighted avg,0.9060944912557675,0.8944444444444445,0.8929275989096378,720.0
