,precision,recall,f1-score,support
1,0.94,0.94,0.94,100.0
2,0.9345794392523364,1.0,0.966183574879227,100.0
3,1.0,0.99,0.9949748743718593,100.0
4,0.7865168539325843,0.7,0.7407407407407408,100.0
5,1.0,1.0,1.0,100.0
6,0.9032258064516129,0.84,0.8704663212435233,100.0
7,0.8235294117647058,0.98,0.8949771689497716,100.0
8,0.8641975308641975,0.7,0.7734806629834253,100.0
9,0.9900990099009901,1.0,0.9950248756218906,100.0
micro avg,0.9167604049493814,0.9055555555555556,0.9111235326998324,900.0
macro avg,0.915794228018492,0.9055555555555554,0.9084275798656043,900.0
weighted avg,0.915794228018492,0.9055555555555556,0.9084275798656043,900.0
