,precision,recall,f1-score,support
1,0.9047619047619048,0.95,0.9268292682926829,100.0
2,0.8849557522123894,1.0,0.9389671361502347,100.0
3,0.9611650485436893,0.99,0.9753694581280788,100.0
4,0.775,0.62,0.6888888888888889,100.0
5,0.9803921568627451,1.0,0.99009900990099,100.0
6,0.9494949494949495,0.94,0.9447236180904524,100.0
7,0.8761061946902655,0.99,0.9295774647887325,100.0
8,0.8717948717948718,0.68,0.7640449438202247,100.0
9,1.0,1.0,1.0,100.0
micro avg,0.9148936170212766,0.9077777777777778,0.9113218070273285,900.0
macro avg,0.9115189864845351,0.9077777777777778,0.9064999764511428,900.0
weighted avg,0.911518986484535,0.9077777777777778,0.9064999764511428,900.0
